key_0,business_code,customer_number,customer_name,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_date,invoice_currency,document type,posting_id,area_business,invoice_amount,baseline_create_date,cust_payment_terms,invoice_number,isOpen,delay_date,predicted_payment_date
29943,U001,0200974851,RESTA systems,2020.0,1930645942.0,2020-03-12,20200312,20200312,2020-04-01,USD,RV,1.0,,1344.12,20200312.0,NAD1,1930645942.0,1,1,2020-04-02
38344,U001,0200771157,WEIS corporation,2020.0,1930636763.0,2020-03-11,20200311,20200311,2020-03-26,USD,RV,1.0,,83162.79,20200311.0,NAA8,1930636763.0,1,8,2020-04-03
20200,U001,0200759878,SA systems,2020.0,1930772380.0,2020-04-12,20200410,20200412,2020-04-27,USD,RV,1.0,,15123.85,20200412.0,NAH4,1930772380.0,1,1,2020-04-28
38363,U001,0100000222,SMITHFIE co,2020.0,1930578960.0,2020-03-04,20200302,20200304,2020-03-19,USD,RV,1.0,,31720.25,20200304.0,NAA8,1930578960.0,1,1,2020-03-20
38473,U001,0200707822,PUBLI corporation,2020.0,1930585308.0,2020-02-29,20200229,20200229,2020-03-15,USD,RV,1.0,,91806.7,20200229.0,NAA8,1930585308.0,1,8,2020-03-23
47490,U001,0200769623,WAL-MAR co,2020.0,1930852827.0,2020-05-03,20200502,20200503,2020-05-18,USD,RV,1.0,,30697.26,20200503.0,NAH4,1930852827.0,1,1,2020-05-19
38867,U001,0200769623,WAL-MAR co,2020.0,1930577107.0,2020-02-27,20200227,20200227,2020-03-13,USD,RV,1.0,,933.62,20200227.0,NAH4,1930577107.0,1,8,2020-03-21
38935,U001,200696090,UNITE trust,2020.0,1930846798.0,2020-05-06,20200502,20200506,2020-05-21,USD,RV,1.0,,4093.48,20200506.0,NAA8,1930846798.0,1,1,2020-05-22
20226,U001,0200769623,WAL-MAR foundation,2020.0,1930717764.0,2020-03-29,20200329,20200329,2020-04-13,USD,RV,1.0,,17427.73,20200329.0,NAH4,1930717764.0,1,1,2020-04-14
7653,U001,0200833713,JETRO in,2020.0,1930633964.0,2020-03-12,20200311,20200312,2020-03-27,USD,RV,1.0,,11013.42,20200312.0,NAA8,1930633964.0,1,1,2020-03-28
